carrier,Year,contract_effective_date,contract_expire_date,cost,cost_type,currency,destination_countries,destination_states,min_cost,mode,origin_countries,origin_states
QUALITY,2020,1/1/2020,12/31/2020,1.32,PerDistance,USD,US,CT,700,truckload,US,TX
QUALITY,2020,1/1/2020,12/31/2020,1.36,PerDistance,USD,US,AR,700,truckload,US,TX
QUALITY,2020,1/1/2020,12/31/2020,1.36,PerDistance,USD,US,KS,700,truckload,US,TX
QUALITY,2020,1/1/2020,12/31/2020,1.31,PerDistance,USD,US,MI,700,truckload,US,TX
QUALITY,2020,1/1/2020,12/31/2020,1.33,PerDistance,USD,US,AL,700,truckload,US,TX
QUALITY,2020,1/1/2020,12/31/2020,1.31,PerDistance,USD,US,NE,700,truckload,US,TX
QUALITY,2020,1/1/2020,12/31/2020,1.42,PerDistance,USD,US,MA,700,truckload,US,TX
QUALITY,2020,1/1/2020,12/31/2020,1.6,PerDistance,USD,US,OK,700,truckload,US,TX
QUALITY,2020,1/1/2020,12/31/2020,1.51,PerDistance,USD,US,UT,700,truckload,US,TX
QUALITY,2020,1/1/2020,12/31/2020,1.61,PerDistance,USD,US,OR,700,truckload,US,TX
QUALITY,2020,1/1/2020,12/31/2020,1.36,PerDistance,USD,US,VT,700,truckload,US,TX
QUALITY,2020,1/1/2020,12/31/2020,1.36,PerDistance,USD,US,AZ,700,truckload,US,TX
QUALITY,2020,1/1/2020,12/31/2020,1.6,PerDistance,USD,US,CO,700,truckload,US,TX
QUALITY,2020,1/1/2020,12/31/2020,4,PerDistance,USD,US,NM,700,truckload,US,TX
QUALITY,2020,1/1/2020,12/31/2020,1.46,PerDistance,USD,US,LA,700,truckload,US,TX
QUALITY,2020,1/1/2020,12/31/2020,1.21,PerDistance,USD,US,TN,700,truckload,US,TX
QUALITY,2020,1/1/2020,12/31/2020,1.32,PerDistance,USD,US,DE,700,truckload,US,TX
QUALITY,2020,1/1/2020,12/31/2020,1.36,PerDistance,USD,US,MN,700,truckload,US,TX
QUALITY,2020,1/1/2020,12/31/2020,1.36,PerDistance,USD,US,VA,700,truckload,US,TX
QUALITY,2020,1/1/2020,12/31/2020,1.09,PerDistance,USD,US,CA,700,truckload,US,TX
QUALITY,2020,1/1/2020,12/31/2020,1.71,PerDistance,USD,US,MT,700,truckload,US,TX
QUALITY,2020,1/1/2020,12/31/2020,1.46,PerDistance,USD,US,NC,700,truckload,US,TX
QUALITY,2020,1/1/2020,12/31/2020,1.2,PerDistance,USD,US,GA,700,truckload,US,TX
QUALITY,2020,1/1/2020,12/31/2020,1.61,PerDistance,USD,US,ME,700,truckload,US,TX
QUALITY,2020,1/1/2020,12/31/2020,1.36,PerDistance,USD,US,PA,700,truckload,US,TX
QUALITY,2020,1/1/2020,12/31/2020,1.41,PerDistance,USD,US,TX,700,truckload,US,TX
QUALITY,2020,1/1/2020,12/31/2020,1.61,PerDistance,USD,US,MD,700,truckload,US,TX
