WAYBILL,Direccion_Destino,CITY,STATE,POSTAL_CODE,COUNTRY,DISTANCE_BILLED,Pure_Freight,Fuel_Cost,Team_D.15mILE,Total_Feight_Inv,Origen,CARRIER,FULL_Direccion_Destino,%Truck_used,WH_Address
1652697,CANTON MI 48187 US,CANTON,MI,48187,US,1152.7,1267.97,449.55,0,1717.52,,LUNA,CANTON MI 48187 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1663551,RICHARDSON TX 75081-6200 US,RICHARDSON,TX,75081-6200,US,19.5,324.07,7.61,0,331.68,,LUNA,RICHARDSON TX 75081-6200 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1663599,WICHITA KS 67211-3378 US,WICHITA,KS,67211-3378,US,344.9,400,134.51,0,534.51,,LUNA,WICHITA KS 67211-3378 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1663722,WHARTON NJ 07885-1800 US,WHARTON,NJ,07885-1800,US,1531,1684.1,673.64,0,2357.74,,LUNA,WHARTON NJ 07885-1800 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1663723,TAMPA FL 33602-2509 US,TAMPA,FL,33602-2509,US,1122.8,1235.08,437.89,0,1672.97,,LUNA,TAMPA FL 33602-2509 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1665641,ALPHARETTA GA 30005 US,ALPHARETTA,GA,30005,US,830.6,913.66,323.93,0,1237.59,,LUNA,ALPHARETTA GA 30005 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1667972,GAHANNA OH 43230-6602 US,GAHANNA,OH,43230-6602,US,1102,1212.2,429.78,0,1641.98,,LUNA,GAHANNA OH 43230-6602 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1668017,COLUMBIA SC 29209 US,COLUMBIA,SC,29209,US,1034.5,1137.95,403.46,0,1541.41,,LUNA,COLUMBIA SC 29209 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1668022,METHUEN MA 01844-1578 US,METHUEN,MA,01844-1578,US,1845,2029.5,885.6,276.75,3191.85,,LUNA,METHUEN MA 01844-1578 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1669117,BOISE ID 83706-1433 US,BOISE,ID,83706-1433,US,1610.5,1771.55,724.73,241.58,2737.85,,LUNA,BOISE ID 83706-1433 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1670673,ROANOKE VA 24012 US,ROANOKE,VA,24012,US,1112.2,1223.42,433.76,0,1657.18,,LUNA,ROANOKE VA 24012 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1670681,LITHONIA GA 30058 US,LITHONIA,GA,30058,US,829.7,912.67,323.58,0,1236.25,,LUNA,LITHONIA GA 30058 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1671713,ALBUQUERQUE NM 87107-4746 US,ALBUQUERQUE,NM,87107-4746,US,631.9,695.09,246.44,94.79,1036.32,,LUNA,ALBUQUERQUE NM 87107-4746 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1672416,WALLED LAKE MI 48390 US,WALLED LAKE,MI,48390,US,1173,1290.3,457.47,175.95,1923.72,,LUNA,WALLED LAKE MI 48390 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1673907,SPRINGFIELD MO 65803-9565 US,SPRINGFIELD,MO,65803-9565,US,414.2,455.62,161.54,62.13,679.29,,LUNA,SPRINGFIELD MO 65803-9565 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1673950,MARSHALL WI 53559 US,MARSHALL,WI,53559,US,986.9,1085.59,384.89,0,1470.48,,LUNA,MARSHALL WI 53559 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1674014,CANTON MI 48187 US,CANTON,MI,48187,US,1152.7,1267.97,449.55,0,1717.52,,LUNA,CANTON MI 48187 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1674058,ORANGE CA 92865 US,ORANGE,CA,92865,US,1414.3,1555.73,594.01,212.15,2361.88,,LUNA,ORANGE CA 92865 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1674060,MILPITAS CA 95035 US,MILPITAS,CA,95035,US,1676.4,1844.04,771.14,251.46,2866.64,,LUNA,MILPITAS CA 95035 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1674480,COLUMBIA SC 29203-9716 US,COLUMBIA,SC,29203-9716,US,1034.5,1137.95,403.46,0,1541.41,,LUNA,COLUMBIA SC 29203-9716 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1675090,OLATHE KS 66061-5880 US,OLATHE,KS,66061-5880,US,475.8,523.38,185.56,0,708.94,,LUNA,OLATHE KS 66061-5880 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1675101,TUKWILA WA 98188-4638 US,TUKWILA,WA,98188-4638,US,2108.9,2319.79,1096.63,316.34,3732.75,,LUNA,TUKWILA WA 98188-4638 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1675124,SEATTLE WA 98126 US,SEATTLE,WA,98126,US,2107.3,2318.03,1095.8,316.1,3729.92,,LUNA,SEATTLE WA 98126 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1675192,WAYNESBORO VA 22980-1947 US,WAYNESBORO,VA,22980-1947,US,1196.1,1315.71,466.48,179.42,1961.6,,LUNA,WAYNESBORO VA 22980-1947 US,11%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1675212,BOSSIER CITY LA 71111 US,BOSSIER CITY,LA,71111,US,210.5,400,82.1,31.58,513.67,,LUNA,BOSSIER CITY LA 71111 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1675842,POMPANO BEACH FL 33073-3083 US,POMPANO BEACH,FL,33073-3083,US,1293.5,1422.85,530.34,0,1953.19,,LUNA,POMPANO BEACH FL 33073-3083 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1675848,SLIDELL LA 70458-8058 US,SLIDELL,LA,70458-8058,US,534.2,587.62,208.34,0,795.96,,LUNA,SLIDELL LA 70458-8058 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1676475,JACKSON MS 39202-3407 US,JACKSON,MS,39202-3407,US,422,464.2,164.58,63.3,692.08,,LUNA,JACKSON MS 39202-3407 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1677893,HAMILTON TOWNSHIP NJ 08611-3226 US,HAMILTON TOWNSHIP,NJ,08611-3226,US,1503.8,1654.18,661.67,225.57,2541.42,,LUNA,HAMILTON TOWNSHIP NJ 08611-3226 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1678648,PORTLAND OR 97220 US,PORTLAND,OR,97220,US,2041,2245.1,1040.91,306.15,3592.16,,LUNA,PORTLAND OR 97220 US,11%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1686272,BUDD LAKE NJ 07828-4301 US,BUDD LAKE,NJ,07828-4301,US,1529.1,1682.01,672.8,229.37,2584.18,,LUNA,BUDD LAKE NJ 07828-4301 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1688844,WATERBURY VT 5676 US,WATERBURY,VT,5676,US,1804.4,1984.84,866.11,0,2850.95,,LUNA,WATERBURY VT 5676 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1689427,SHEPHERDSVILLE KY 40165-6315 US,SHEPHERDSVILLE,KY,40165-6315,US,834.4,917.84,325.42,125.16,1368.42,,LUNA,SHEPHERDSVILLE KY 40165-6315 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1689989,SANDY OR 97055 US,SANDY,OR,97055,US,2033.4,2236.73,1037.03,0,3273.77,,LUNA,SANDY OR 97055 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1691722,HOUSTON TX 77073-5120 US,HOUSTON,TX,77073-5120,US,250.6,324.07,97.73,37.59,459.39,,LUNA,HOUSTON TX 77073-5120 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1691739,CONWAY AR 72032-4430 US,CONWAY,AR,72032-4430,US,356.8,400,139.15,53.52,592.67,,LUNA,CONWAY AR 72032-4430 US,11%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1692168,BOISE ID 83706-1433 US,BOISE,ID,83706-1433,US,1610.5,1771.55,724.73,241.58,2737.85,,LUNA,BOISE ID 83706-1433 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1694200,ANOKA MN 55303 US,ANOKA,MN,55303,US,961.1,1057.21,374.83,0,1432.04,,LUNA,ANOKA MN 55303 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1694797,BOSSIER CITY LA 71111 US,BOSSIER CITY,LA,71111,US,210.5,400,82.1,31.58,513.67,,LUNA,BOSSIER CITY LA 71111 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1694798,HOUSTON TX 77032 US,HOUSTON,TX,77032,US,250.6,324.07,97.73,37.59,459.39,,LUNA,HOUSTON TX 77032 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1694932,CHARLOTTE NC 28208-2735 US,CHARLOTTE,NC,28208-2735,US,1042,1146.2,406.38,0,1552.58,,LUNA,CHARLOTTE NC 28208-2735 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1696451,MADISON AL 35756-4634 US,MADISON,AL,35756-4634,US,663.7,730.07,258.84,99.56,1088.47,,LUNA,MADISON AL 35756-4634 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1697340,KILLEEN TX 76541 US,KILLEEN,TX,76541,US,177,324.07,69.03,26.55,419.65,,LUNA,KILLEEN TX 76541 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1697345,LENEXA KS 66215-2029 US,LENEXA,KS,66215-2029,US,475.5,523.05,185.45,0,708.5,,LUNA,LENEXA KS 66215-2029 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1700288,BLUFFTON SC 29910-8924 US,BLUFFTON,SC,29910-8924,US,1040.9,1144.99,405.95,0,1550.95,,LUNA,BLUFFTON SC 29910-8924 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1700903,SPRINGFIELD MO 65803-9565 US,SPRINGFIELD,MO,65803-9565,US,414.2,455.62,161.54,62.13,679.29,,LUNA,SPRINGFIELD MO 65803-9565 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1700985,COLUMBIA MD 21046 US,COLUMBIA,MD,21046,US,1363,1499.3,572.46,204.45,2276.21,,LUNA,COLUMBIA MD 21046 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1701962,WATERTOWN WI 53098 US,WATERTOWN,WI,53098,US,994.3,1093.73,387.78,0,1481.51,,LUNA,WATERTOWN WI 53098 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1704061,PELHAM AL 35124 US,PELHAM,AL,35124,US,658.2,724.02,256.7,98.73,1079.45,,LUNA,PELHAM AL 35124 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1704501,WICHITA KS 67211-3378 US,WICHITA,KS,67211-3378,US,344.9,400,134.51,51.74,586.25,,LUNA,WICHITA KS 67211-3378 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1705938,DES MOINES IA 50321-1250 US,DES MOINES,IA,50321-1250,US,695,764.5,271.05,0,1035.55,,LUNA,DES MOINES IA 50321-1250 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1706573,SPRINGFIELD MO 65803-9565 US,SPRINGFIELD,MO,65803-9565,US,414.2,455.62,161.54,0,617.16,,LUNA,SPRINGFIELD MO 65803-9565 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1707341,LENEXA KS 66215-2029 US,LENEXA,KS,66215-2029,US,475.5,523.05,185.45,71.33,779.82,,LUNA,LENEXA KS 66215-2029 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1711385,CHARLOTTE NC 28273 US,CHARLOTTE,NC,28273,US,1042,1146.2,406.38,0,1552.58,,LUNA,CHARLOTTE NC 28273 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1712772,ALPHARETTA GA 30005 US,ALPHARETTA,GA,30005,US,830.6,913.66,323.93,0,1237.59,,LUNA,ALPHARETTA GA 30005 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1713566,LITHONIA GA 30058 US,LITHONIA,GA,30058,US,829.7,912.67,323.58,124.46,1360.71,,LUNA,LITHONIA GA 30058 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1713569,CINCINNATI OH 45211 US,CINCINNATI,OH,45211,US,955.6,1051.16,372.68,0,1423.84,,LUNA,CINCINNATI OH 45211 US,11%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1714899,JACKSONVILLE FL 32207 US,JACKSONVILLE,FL,32207,US,1015.7,1117.27,396.12,152.36,1665.75,,LUNA,JACKSONVILLE FL 32207 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1716385,LITHONIA GA 30058-4613 US,LITHONIA,GA,30058-4613,US,829.7,912.67,323.58,0,1236.25,,LUNA,LITHONIA GA 30058-4613 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1717202,LAUREL MD 20707 US,LAUREL,MD,20707,US,1359,1494.9,570.78,0,2065.68,,LUNA,LAUREL MD 20707 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1717248,YORK PA 17406-8474 US,YORK,PA,17406-8474,US,1410.4,1551.44,592.37,0,2143.81,,LUNA,YORK PA 17406-8474 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1717289,CHARLOTTE NC 28208-2735 US,CHARLOTTE,NC,28208-2735,US,1042,1146.2,406.38,156.3,1708.88,,LUNA,CHARLOTTE NC 28208-2735 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1717353,ALBUQUERQUE NM 87107-4746 US,ALBUQUERQUE,NM,87107-4746,US,631.9,695.09,246.44,94.79,1036.32,,LUNA,ALBUQUERQUE NM 87107-4746 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1717354,WHARTON NJ 07885-1800 US,WHARTON,NJ,07885-1800,US,1531,1684.1,673.64,229.65,2587.39,,LUNA,WHARTON NJ 07885-1800 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
