SERIAL_NUMBER,OH_INV,ORDER_NUMBER,DESCRIPTION,SEGMENT1,NAME,TRANSACTION_ID,SHIPMENT_NUMBER,SCHEDULE_SHIP_DATE,SCHEDULE_SHIP_DATE,SCHEDULE_ARRIVAL_DATE,ADDRESSEE,CONFIRM_DATE,ADDRESS1,CITY,STATE,POSTAL_CODE,COUNTRY,CREATION_DATE,Delivery ID,PRO#/Tracking#,TMS_REG
57-58253935,1/6/2021,6034897,SelfServ84 ITM,6684MC6165,Rental Sourcing US,4559031525,87568895,1/11/2021 23:59,1/11/2021 23:59,1/14/2021 23:59,ATMaaS TNT ERECTORS -  SCOTT CREDIT UNION,1/11/2021 23:40,4192 HIGHWAY 44 E,SHEPHERDSVILLE,KY,40165-6315,US,1/11/2021 23:40,87568895,22791358,TMS
57-58253935,1/6/2021,6080345,SelfServ84 ITM,6684MC6165,Rental Sourcing US,4647481154,91676869,12/31/2022 23:59,12/31/2022 23:59,12/31/2022 23:59,ATMaaS SVW FOR SCOTT CREDIT UNION OF COLLINSVILLE IL,4/14/2021 11:47,1629 MANUFACTURERS DR,FENTON,MO,63026-2838,US,4/14/2021 11:47,91676869,#N/A,EMAIL
57-58253932,1/6/2021,6034917,SelfServ84 ITM,6684MC6165,Rental Sourcing US,4559030565,87568953,1/11/2021 23:59,1/11/2021 23:59,1/14/2021 23:59,ATMaaS TNT ERECTORS -  SCOTT CREDIT UNION,1/11/2021 23:37,4192 HIGHWAY 44 E,SHEPHERDSVILLE,KY,40165-6315,US,1/11/2021 23:37,87568953,22791358,TMS
57-58253932,1/6/2021,6080362,SelfServ84 ITM,6684MC6165,Rental Sourcing US,4647479251,91676870,12/31/2022 23:59,12/31/2022 23:59,12/31/2022 23:59,ATMaaS SVW FOR SCOTT CREDIT UNION OF COLLINSVILLE IL,4/14/2021 11:44,1629 MANUFACTURERS DR,FENTON,MO,63026-2838,US,4/14/2021 11:45,91676870,#N/A,EMAIL
57-58254523,1/7/2021,6034907,SelfServ 88 Interactive Teller,6688MC1959,Rental Sourcing US,4559017279,87568899,1/11/2021 23:59,1/11/2021 23:59,1/14/2021 23:59,ATMaaS TNT ERECTORS -  SCOTT CREDIT UNION,1/11/2021 22:51,4192 HIGHWAY 44 E,SHEPHERDSVILLE,KY,40165-6315,US,1/11/2021 22:51,87568899,22791358,TMS
57-58254523,1/7/2021,6080356,SelfServ 88 Interactive Teller,6688MC1959,Rental Sourcing US,4647831186,91689292,12/31/2022 23:59,12/31/2022 23:59,12/31/2022 23:59,ATMaaS SVW FOR SCOTT CREDIT UNION OF COLLINSVILLE IL,4/14/2021 18:00,1629 MANUFACTURERS DR,FENTON,MO,63026-2838,US,4/14/2021 18:01,91689292,#N/A,EMAIL
57-58254521,1/7/2021,6034906,SelfServ 88 Interactive Teller,6688MC1959,Rental Sourcing US,4559010738,87568898,1/11/2021 23:59,1/11/2021 23:59,1/14/2021 23:59,ATMaaS TNT ERECTORS -  SCOTT CREDIT UNION,1/11/2021 22:31,4192 HIGHWAY 44 E,SHEPHERDSVILLE,KY,40165-6315,US,1/11/2021 22:31,87568898,22791358,TMS
57-58254521,1/7/2021,6080328,SelfServ 88 Interactive Teller,6688MC1959,Rental Sourcing US,4646987857,91661467,12/31/2022 23:59,12/31/2022 23:59,12/31/2022 23:59,ATMaaS SVW FOR SCOTT CREDIT UNION OF COLLINSVILLE IL,4/14/2021 0:34,1629 MANUFACTURERS DR,FENTON,MO,63026-2838,US,4/14/2021 0:34,91661467,#N/A,EMAIL
57-58254525,1/7/2021,6034903,SelfServ 88 Interactive Teller,6688MC1959,Rental Sourcing US,4559009821,87568897,1/11/2021 23:59,1/11/2021 23:59,1/14/2021 23:59,ATMaaS TNT ERECTORS -  SCOTT CREDIT UNION,1/11/2021 22:28,4192 HIGHWAY 44 E,SHEPHERDSVILLE,KY,40165-6315,US,1/11/2021 22:28,87568897,22791358,TMS
57-58254525,1/7/2021,6080351,SelfServ 88 Interactive Teller,6688MC1959,Rental Sourcing US,4559009821,91661469,12/31/2022 23:59,12/31/2022 23:59,12/31/2022 23:59,ATMaaS SVW FOR SCOTT CREDIT UNION OF COLLINSVILLE IL,4/14/2021 0:30,1629 MANUFACTURERS DR,FENTON,MO,63026-2838,US,4/14/2021 0:32,91661469,#N/A,EMAIL
