Standard_name,Reg_Div,Acronyms
Connecticut,New England Division,CT
Maine,New England Division,ME
Massachusetts,New England Division,MA
New Hampshire,New England Division,NH
Rhode Island,New England Division,RI
Vermont,New England Division,VT
New Jersey,Middle Atlantic Division,NJ
New York,Middle Atlantic Division,NY
Pennsylvania,Middle Atlantic Division,PA
Illinois,East North Central Division,IL
Indiana,East North Central Division,IN
Michigan,East North Central Division,MI
Ohio,East North Central Division,OH
Wisconsin,East North Central Division,WI
Iowa,West North Central Division,IA
Kansas,West North Central Division,KS
Minnesota,West North Central Division,MN
Missouri,West North Central Division,MO
Nebraska,West North Central Division,NE
North Dakota,West North Central Division,ND
South Dakota,West North Central Division,SD
Delaware,South Atlantic Division,DE
District of Columbia,South Atlantic Division,DC
Florida,South Atlantic Division,FL
Georgia,South Atlantic Division,GA
Maryland,South Atlantic Division,MD
North Carolina,South Atlantic Division,NC
South Carolina,South Atlantic Division,SC
Virginia,South Atlantic Division,VA
West Virginia,South Atlantic Division,WV
Alabama,East South Central Division,AL
Kentucky,East South Central Division,KY
Mississippi,East South Central Division,MS
Tennessee,East South Central Division,TN
Arkansas,West South Central Division,AR
Louisiana,West South Central Division,LA
Oklahoma,West South Central Division,OK
Texas,West South Central Division,TX
Arizona,Mountain Division,AZ
Colorado,Mountain Division,CO
Idaho,Mountain Division,ID
Montana,Mountain Division,MT
Nevada,Mountain Division,NV
New Mexico,Mountain Division,NM
Utah,Mountain Division,UT
Wyoming,Mountain Division,WY
Alaska,Pacific Division,AK
California,Pacific Division,CA
Hawaii,Pacific Division,HI
Oregon,Pacific Division,OR
Washington,Pacific Division,WA
